IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
140.238.126.201,443,443,true,FRA,Europe,Frankfurt,222,10.17
132.226.209.57,443,443,true,FRA,Europe,Frankfurt,174,10.15
192.9.132.79,443,443,true,SJC,North America,San Jose,180,10.14
150.230.123.238,443,443,true,FRA,Europe,Frankfurt,178,10.13
130.162.186.114,443,443,true,FRA,Europe,Frankfurt,174,10.11
84.8.148.145,443,443,true,FRA,Europe,Frankfurt,175,10.11
132.226.135.150,443,443,true,FRA,Europe,Frankfurt,175,10.07
141.147.16.152,8443,443,true,FRA,Europe,Frankfurt,172,10.07
84.235.165.162,443,443,true,FRA,Europe,Frankfurt,193,10.07
84.235.164.34,443,443,true,FRA,Europe,Frankfurt,191,10.06
158.180.42.55,443,443,true,FRA,Europe,Frankfurt,191,10.06
79.72.79.188,443,443,true,FRA,Europe,Frankfurt,180,10.06
132.145.15.238,443,443,true,FRA,Europe,Frankfurt,185,10.04
158.178.146.124,443,443,true,FRA,Europe,Frankfurt,187,10.04
130.61.83.37,443,443,true,FRA,Europe,Frankfurt,166,10.03
130.162.180.76,443,443,true,FRA,Europe,Frankfurt,194,10.02
141.147.105.145,443,443,true,FRA,Europe,Frankfurt,187,10.02
152.70.50.4,443,443,true,FRA,Europe,Frankfurt,171,10.01
141.147.114.183,443,443,true,FRA,Europe,Frankfurt,194,10.00
79.72.95.82,443,443,true,FRA,Europe,Frankfurt,173,10.00
141.145.206.16,8443,443,true,CDG,Europe,Paris,167,9.98
193.123.58.234,443,443,true,FRA,Europe,Frankfurt,180,9.98
152.70.117.136,443,443,true,SJC,North America,San Jose,177,9.97
143.47.184.168,443,443,true,FRA,Europe,Frankfurt,205,9.97
132.226.209.4,443,443,true,FRA,Europe,Frankfurt,195,9.95
141.147.104.226,443,443,true,FRA,Europe,Frankfurt,168,9.95
138.3.254.39,443,443,true,FRA,Europe,Frankfurt,189,9.95
141.148.235.59,443,443,true,FRA,Europe,Frankfurt,192,9.94
141.147.70.10,443,443,true,FRA,Europe,Frankfurt,174,9.93
84.235.163.71,443,443,true,FRA,Europe,Frankfurt,166,9.91
193.123.59.7,443,443,true,FRA,Europe,Frankfurt,180,9.90
141.147.115.88,443,443,true,FRA,Europe,Frankfurt,189,9.89
155.248.178.58,80,443,true,NRT,Asia Pacific,Tokyo,95,9.85
141.147.88.178,443,443,true,FRA,Europe,Frankfurt,194,9.85
141.148.229.100,443,443,true,FRA,Europe,Frankfurt,177,9.84
141.147.14.215,443,443,true,FRA,Europe,Frankfurt,178,9.81
130.162.189.112,443,443,true,FRA,Europe,Frankfurt,201,9.80
158.101.209.234,443,443,true,FRA,Europe,Frankfurt,184,9.79
141.147.44.26,443,443,true,FRA,Europe,Frankfurt,206,9.78
89.168.104.172,443,443,true,FRA,Europe,Frankfurt,169,9.78
130.162.225.74,443,443,true,FRA,Europe,Frankfurt,176,9.76
143.47.180.66,443,443,true,FRA,Europe,Frankfurt,170,9.73
143.47.229.38,443,443,true,FRA,Europe,Frankfurt,175,9.72
158.178.159.157,443,443,true,FRA,Europe,Frankfurt,174,9.70
84.8.146.84,443,443,true,FRA,Europe,Frankfurt,179,9.69
192.18.140.32,443,443,true,SJC,North America,San Jose,186,9.68
130.162.166.191,443,443,true,FRA,Europe,Frankfurt,178,9.68
141.148.230.163,443,443,true,FRA,Europe,Frankfurt,179,9.66
158.178.148.169,443,443,true,FRA,Europe,Frankfurt,167,9.64
130.162.187.212,443,443,true,FRA,Europe,Frankfurt,170,9.60
130.162.244.193,443,443,true,FRA,Europe,Frankfurt,162,9.60
192.9.137.193,8443,443,true,SJC,North America,San Jose,184,9.60
152.67.148.40,443,443,true,FRA,Europe,Frankfurt,190,9.60
129.159.242.24,443,443,true,FRA,Europe,Frankfurt,167,9.57
